Timestamp,Vehicle Type,Vehicle ID,Location ID
2025-06-29 14:19:27,car,986,Rai ka bagh crossing
2025-06-29 14:19:28,car,1007,Rai ka bagh crossing
2025-06-29 14:19:30,car,957,Rai ka bagh crossing
2025-06-29 14:19:30,car,1040,Rai ka bagh crossing
2025-06-29 14:19:35,car,1054,Rai ka bagh crossing
2025-06-29 14:19:37,car,1076,Rai ka bagh crossing
2025-06-29 14:19:40,car,1074,Rai ka bagh crossing
2025-06-29 14:19:42,car,1114,Rai ka bagh crossing
2025-06-29 14:19:43,car,1089,Rai ka bagh crossing
2025-06-29 14:19:45,car,1121,Rai ka bagh crossing
2025-06-29 14:19:45,car,1119,Rai ka bagh crossing
2025-06-29 14:19:47,car,1052,Rai ka bagh crossing
2025-06-29 14:19:47,car,1043,Rai ka bagh crossing
2025-06-29 14:19:48,car,1039,Rai ka bagh crossing
2025-06-29 14:19:54,car,1151,Rai ka bagh crossing
2025-06-29 14:19:55,car,1108,Rai ka bagh crossing
2025-06-29 14:19:59,car,1159,Rai ka bagh crossing
2025-06-29 14:20:09,car,1236,Rai ka bagh crossing
2025-06-29 14:20:11,car,1239,Rai ka bagh crossing
2025-06-29 14:20:11,car,1221,Rai ka bagh crossing
2025-06-29 14:20:13,car,1244,Rai ka bagh crossing
2025-06-29 14:20:19,car,1261,Rai ka bagh crossing
2025-06-29 14:20:23,car,1275,Rai ka bagh crossing
2025-06-29 14:20:24,car,1290,Rai ka bagh crossing
2025-06-29 14:20:26,car,1295,Rai ka bagh crossing
2025-06-29 14:20:29,car,1237,Rai ka bagh crossing
2025-06-29 14:20:35,car,1316,Rai ka bagh crossing
2025-06-29 14:20:39,car,1273,Rai ka bagh crossing
2025-06-29 14:20:42,car,1287,Rai ka bagh crossing
2025-06-29 14:20:53,car,1377,Rai ka bagh crossing
2025-06-29 14:20:53,car,1375,Rai ka bagh crossing
2025-06-29 14:20:54,car,1313,Rai ka bagh crossing
2025-06-29 14:21:04,car,1417,Rai ka bagh crossing
2025-06-29 14:21:17,motorcycle,1341,Rai ka bagh crossing
2025-06-29 14:39:24,car,54,Basni Crossing
2025-06-29 14:39:25,car,50,Basni Crossing
2025-06-29 14:39:26,car,44,Basni Crossing
2025-06-29 14:39:59,car,149,Basni Crossing
2025-06-29 14:40:08,car,147,Basni Crossing
2025-06-29 14:40:09,car,134,Basni Crossing
2025-06-29 14:40:14,car,186,Basni Crossing
2025-06-29 14:40:20,car,223,Basni Crossing
2025-06-29 14:40:24,car,219,Basni Crossing
2025-06-29 14:40:26,car,203,Basni Crossing
2025-06-29 14:40:36,car,272,Basni Crossing
2025-06-29 14:40:40,car,279,Basni Crossing
2025-06-29 14:40:41,car,237,Basni Crossing
2025-06-29 14:40:44,car,292,Basni Crossing
2025-06-29 14:40:53,car,332,Basni Crossing
2025-06-29 14:40:56,car,312,Basni Crossing
2025-06-29 14:40:56,car,289,Basni Crossing
2025-06-29 14:41:02,car,346,Basni Crossing
2025-06-29 14:41:03,car,348,Basni Crossing
2025-06-29 14:41:06,truck,333,Basni Crossing
2025-06-29 14:41:07,car,340,Basni Crossing
2025-06-29 14:41:11,truck,368,Basni Crossing
2025-06-29 14:41:12,car,390,Basni Crossing
2025-06-29 14:41:13,car,353,Basni Crossing
